,Ridge Regression,Neural Network Regression,Random Forest Regression
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,387.07472296810386,45.72230268290346,284.09905200314984
8,670.381486389185,1201.4714869211753,1092.790318806616
9,1178.2862481599964,1269.6306866973212,1322.2672868500945
10,1307.060898356274,1262.068692976572,1363.999777700068
11,1387.1717390944475,1280.2488093303662,1337.471608883583
12,1606.1528392121816,1468.9335564087187,1416.6526433678666
13,1422.6074545354818,1339.198342144805,1330.9628546977397
14,1299.7979720071253,1306.8924516025882,1175.2587712338839
15,1130.6913241288444,1260.893109831216,1205.0038090331113
16,826.6273495053955,814.9539336546466,890.3422712156677
17,524.7769585959455,290.52904024477675,260.9682661561466
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
