Sunnyside Export for FLC
Start date:,2/11/2026 12:00:00 AM
End date:,2/11/2026 12:00:00 AM

Timestamp,PYRANOMETER - GHI (Estimated POA),PYRANOMETER - GHI (GHI),PYRANOMETER - POA,WEATHER STATION - Ambient Temperature,BOM TEMPERATURE - Module Temperature 1,BOM TEMPERATURE - Module Temperature 1,Average AC Voltage,Total AC Current,Max wind speed - WEATHER STATION,Sunrise (site time),Sunset (site time),Tons of carbon dioxide,Trees planted,Production meter active power,Production meter net energy,POA,Expected power,WEATHER STATION - Ambient Temperature,BOM TEMPERATURE - Module Temperature 1,BOM TEMPERATURE - Module Temperature 1,METER - PRODUCTION,"PYRANOMETER - GHI, GHI Irradiance ","PYRANOMETER - POA, Sun (POA Temp comp)"
,Wh/m²,Wh/m²,Wh/m²,°F,°F,°F,V,A,mph,,,tons,Trees,kW,kWh,W/m²,kW,°F,°F,°F,Performance Index,W/m²,W/m²
2/11/2026 12:00:00 AM,0,-0.4528325,-0.13,38.1503,34.55,34.892,286.4567,14.3821,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.4806,-1,-0.26,0,38.1503,34.55,34.892,,0,-0.52
2/11/2026 12:15:00 AM,0,-0.4485,-0.1965,37.8624,33.68,34.016,286.364,14.4038,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.46243,0,-0.393,0,37.8624,33.68,34.016,,0,-0.786
2/11/2026 12:30:00 AM,0,-0.511,-0.1513332,37.8658,33.746,34.058,287.3027,14.4326,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.48017,0,-0.3026665,0,37.8658,33.746,34.058,,0,-0.605333
2/11/2026 12:45:00 AM,0,-0.42275,-0.1665,37.6339,33.518,34.052,287.4303,14.4355,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.50757,0,-0.333,0,37.6339,33.518,34.052,,0,-0.666
2/11/2026 1:00:00 AM,0,-0.5998325,-0.1415832,37.1151,32.99,33.182,287.4903,14.4185,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.4863,-1,-0.2831665,0,37.1151,32.99,33.182,,0,-0.566333
2/11/2026 1:15:00 AM,0,-0.7023325,-0.2045,36.3611,31.604,31.604,288.2383,14.4224,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.46305,-1,-0.409,0,36.3611,31.604,31.604,,0,-0.818
2/11/2026 1:30:00 AM,0,-0.6536675,-0.17525,35.583,30.866,30.926,288.408,14.4343,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.47243,0,-0.3505,0,35.583,30.866,30.926,,0,-0.701
2/11/2026 1:45:00 AM,0,-0.4525,-0.1806667,35.1579,30.578,30.644,288.217,14.4452,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.49462,0,-0.3613335,0,35.1579,30.578,30.644,,0,-0.722667
2/11/2026 2:00:00 AM,0,-0.438,-0.1623333,34.5204,30.128,30.272,288.531,14.458,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.53624,0,-0.3246665,0,34.5204,30.128,30.272,,0,-0.649333
2/11/2026 2:15:00 AM,0,-0.3825,-0.1650832,34.3958,30.008,30.152,288.536,14.4569,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.494,-1,-0.3301665,0,34.3958,30.008,30.152,,0,-0.660333
2/11/2026 2:30:00 AM,0,-0.36175,-0.1450832,34.3832,30.182,30.416,288.4297,14.453,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.50721,0,-0.2901665,0,34.3832,30.182,30.416,,0,-0.580333
2/11/2026 2:45:00 AM,0,-0.20875,-0.17225,34.4575,30.584,30.854,288.3747,14.4448,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.49689,-1,-0.3445,0,34.4575,30.584,30.854,,0,-0.689
2/11/2026 3:00:00 AM,0,-0.2353332,-0.1745833,35.2482,31.808,32.15,288.9923,14.4645,2,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.47336,0,-0.3491665,0,35.2482,31.808,32.15,,0,-0.698333
2/11/2026 3:15:00 AM,0,-0.4289175,-0.1454168,35.4059,32.096,32.456,288.4027,14.4651,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.50799,0,-0.2908335,0,35.4059,32.096,32.456,,0,-0.581667
2/11/2026 3:30:00 AM,0,-0.3984175,-0.1481667,35.287,32.102,32.33,288.8707,14.4723,2,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.50286,0,-0.2963335,0,35.287,32.102,32.33,,0,-0.592667
2/11/2026 3:45:00 AM,0,-0.38625,-0.1478332,35.3647,32.018,32.18,288.9607,14.4668,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.48574,-1,-0.2956665,0,35.3647,32.018,32.18,,0,-0.591333
2/11/2026 4:00:00 AM,0,-0.4255,-0.1635832,35.2333,31.454,31.736,288.893,14.454,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.54527,-1,-0.3271665,0,35.2333,31.454,31.736,,0,-0.654333
2/11/2026 4:15:00 AM,0,-0.56325,-0.1695,34.8346,30.794,31.262,288.79,14.4479,0,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.507,0,-0.339,0,34.8346,30.794,31.262,,0,-0.678
2/11/2026 4:30:00 AM,0,-0.3346675,-0.1611668,34.7066,30.74,31.136,288.607,14.4441,1,2/11/2026 7:09:04 AM,2/11/2026 5:42:12 PM,0,0,-1.47576,0,-0.3223335,0,34.7066,30.74,31.136,,0,-0.644667
